rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage,new_feature
113.0,COG,"REPUBLIC,OF,THE,CONGO",africa,6106869.0,5970424.0,5702174.0,5064386.0,4437884.0,3134030.0,2385435.0,1829256.0,1396989.0,-0.09576892174354083,18.0,2.29%,0.08%,12077293.0
114.0,SGP,SINGAPORE,asia,6014723.0,5975689.0,5909869.0,5650018.0,5163590.0,4053602.0,3022209.0,2400729.0,2061831.0,-0.31114834870310193,8377.0,0.65%,0.08%,11990412.0
115.0,DNK,DENMARK,europe,5910913.0,5882261.0,5825641.0,5677796.0,5550849.0,5340655.0,5144623.0,5125392.0,4922963.0,-0.2844008857470996,148.0,0.49%,0.07%,11793174.0
116.0,SVK,SLOVAKIA,europe,5795199.0,5643453.0,5456681.0,5424444.0,5396424.0,5376690.0,5261305.0,4973883.0,4522867.0,-0.28065040980458544,118.0,2.69%,0.07%,11438652.0
117.0,CAF,"CENTRAL,AFRICAN,REPUBLIC",africa,5742315.0,5579144.0,5343020.0,4819333.0,4660067.0,3759170.0,2809221.0,2415276.0,2067356.0,0.08155292450101748,9.0,2.92%,0.07%,11321459.0
118.0,FIN,FINLAND,europe,5545475.0,5540745.0,5529468.0,5479461.0,5363271.0,5176209.0,4986545.0,4779418.0,4606621.0,-0.09802564426927377,18.0,0.09%,0.07%,11086220.0
119.0,NOR,NORWAY,europe,5474360.0,5434319.0,5379839.0,5190356.0,4889741.0,4491202.0,4241636.0,4085776.0,3875546.0,-0.1072532160733193,15.0,0.74%,0.07%,10908679.0
120.0,LBR,LIBERIA,africa,5418377.0,5302681.0,5087584.0,4612329.0,4019956.0,2895224.0,2209731.0,1932169.0,1463563.0,-0.2413142720881467,56.0,2.18%,0.07%,10721058.0
121.0,PSE,PALESTINE,asia,5371230.0,5250072.0,5019401.0,4484614.0,3992278.0,3139954.0,2124609.0,1453620.0,1118241.0,-0.3076711280328591,892.0,2.31%,0.07%,10621302.0
122.0,LBN,LEBANON,asia,5353930.0,5489739.0,5662923.0,6398940.0,4995800.0,4320642.0,3593700.0,2963702.0,2381791.0,-0.3050004206142624,523.0,-2.47%,0.07%,10843669.0
123.0,NZL,"NEW,ZEALAND",oceania,5228100.0,5185288.0,5061133.0,4590590.0,4346338.0,3855266.0,3397389.0,3147168.0,2824061.0,-0.14091157622711284,20.0,0.83%,0.07%,10413388.0
124.0,CRI,"COSTA,RICA",north america,5212173.0,5180829.0,5123105.0,4895242.0,4622252.0,3979193.0,3158253.0,2414303.0,1855697.0,-0.2793485030454727,102.0,0.60%,0.07%,10393002.0
125.0,IRL,IRELAND,europe,5056935.0,5023109.0,4946119.0,4665760.0,4524585.0,3768950.0,3485374.0,3391387.0,2937637.0,-0.26724891104718485,73.0,0.67%,0.06%,10080044.0
126.0,MRT,MAURITANIA,africa,4862989.0,4736139.0,4498604.0,3946220.0,3419461.0,2695003.0,2006027.0,1506694.0,1122198.0,0.33885210831022494,5.0,2.68%,0.06%,9599128.0
127.0,OMN,OMAN,asia,4644384.0,4576298.0,4543399.0,4191776.0,2881914.0,2344253.0,1804524.0,1017462.0,670693.0,-0.11627884402718741,15.0,1.49%,0.06%,9220682.0
128.0,PAN,PANAMA,north america,4468087.0,4408581.0,4294396.0,3957099.0,3623617.0,3001731.0,2449968.0,1956987.0,1516188.0,-0.26400266365558245,60.0,1.35%,0.06%,8876668.0
129.0,KWT,KUWAIT,asia,,,,,2943356.0,1934901.0,1674938.0,1493870.0,802786.0,-0.3003519256129904,242.0,0.97%,0.05%,
130.0,HRV,CROATIA,europe,,,,,4368682.0,4548434.0,4873707.0,4680144.0,4492638.0,-0.2758813795677387,72.0,-0.54%,0.05%,
131.0,ERI,ERITREA,africa,,,,,3147727.0,2392880.0,2149960.0,1657982.0,1272748.0,-0.2373820466804728,31.0,1.76%,0.05%,
132.0,GEO,GEORGIA,asia,,,,,3836831.0,4265172.0,5391636.0,5145843.0,4800426.0,-0.26761051675390884,54.0,-0.43%,0.05%,
133.0,MNG,MONGOLIA,asia,,,,,2702520.0,2450979.0,2161433.0,1697780.0,1293880.0,0.6754735743200685,2.0,1.44%,0.04%,
134.0,MDA,MOLDOVA,europe,3435931.0,3272996.0,3084847.0,3277388.0,3678186.0,4251573.0,4480199.0,4103240.0,3711140.0,-0.29023706301722774,104.0,4.98%,0.04%,6708927.0
135.0,URY,URUGUAY,south america,3423108.0,3422794.0,3429086.0,3402818.0,3352651.0,3292224.0,3117012.0,2953750.0,2790265.0,-0.19735046482998553,20.0,0.01%,0.04%,6845902.0
136.0,PRI,"PUERTO,RICO",north america,3260314.0,3252407.0,3271564.0,3497335.0,3717922.0,3827108.0,3543776.0,3214568.0,2737619.0,-0.30599878052357715,368.0,0.24%,0.04%,6512721.0
137.0,BIH,"BOSNIA,AND,HERZEGOVINA",europe,3210847.0,3233526.0,3318407.0,3524324.0,3811088.0,4179350.0,4494310.0,4199820.0,3815561.0,-0.279279715921506,63.0,-0.70%,0.04%,6444373.0
138.0,ALB,ALBANIA,europe,2832439.0,2842321.0,2866849.0,2882481.0,2913399.0,3182021.0,3295066.0,2941651.0,2324731.0,-0.2934542809803671,103.0,-0.35%,0.04%,5674760.0
139.0,JAM,JAMAICA,north america,2825544.0,2827377.0,2820436.0,2794445.0,2733896.0,2612205.0,2392030.0,2135546.0,1859091.0,-0.3046602714416198,261.0,-0.06%,0.04%,5652921.0
140.0,ARM,ARMENIA,asia,2777970.0,2780469.0,2805608.0,2878595.0,2946293.0,3168523.0,3556539.0,3135123.0,2534377.0,-0.2928263618212216,98.0,-0.09%,0.03%,5558439.0
141.0,GMB,GAMBIA,africa,2773168.0,2705992.0,2573995.0,2253133.0,1937275.0,1437539.0,1040616.0,718586.0,528731.0,-0.30485085595022476,274.0,2.48%,0.03%,5479160.0
142.0,LTU,LITHUANIA,europe,2718352.0,2750055.0,2820267.0,2963765.0,3139019.0,3599637.0,3785847.0,3521206.0,3210147.0,-0.27038724469384867,43.0,-1.15%,0.03%,5468407.0
143.0,QAT,QATAR,asia,2716391.0,2695122.0,2760385.0,2414573.0,1713504.0,645937.0,441675.0,277450.0,118007.0,-0.3042847820951961,236.0,0.79%,0.03%,5411513.0
144.0,BWA,BOTSWANA,africa,2675352.0,2630296.0,2546402.0,2305171.0,2091664.0,1726985.0,1341474.0,938578.0,592244.0,0.055688965889541496,5.0,1.71%,0.03%,5305648.0
145.0,NAM,NAMIBIA,africa,2604172.0,2567012.0,2489098.0,2282704.0,2099271.0,1819141.0,1369011.0,975994.0,754467.0,0.2094281879550971,3.0,1.45%,0.03%,5171184.0
146.0,GAB,GABON,africa,2436566.0,2388992.0,2292573.0,2028517.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,-0.14267795384163365,9.0,1.99%,0.03%,4825558.0
147.0,LSO,LESOTHO,africa,2330318.0,2305825.0,2254100.0,2118521.0,2022747.0,1998630.0,1798997.0,1407672.0,1023481.0,-0.29244014420775727,77.0,1.06%,0.03%,4636143.0
148.0,GNB,GUINEA-BISSAU,africa,2150842.0,2105566.0,2015828.0,1788919.0,1567220.0,1230849.0,973551.0,831462.0,591663.0,-0.2887988441592452,76.0,2.15%,0.03%,4256408.0
149.0,SVN,SLOVENIA,europe,2119675.0,2119844.0,2117641.0,2080862.0,2057287.0,1984339.0,1986024.0,1901570.0,1741286.0,-0.29880263763741033,105.0,-0.01%,0.03%,4239519.0
150.0,MKD,"NORTH,MACEDONIA",europe,2085679.0,2093599.0,2111072.0,2107962.0,2093828.0,2037936.0,2044174.0,1907023.0,1656783.0,-0.2953695921843938,83.0,-0.38%,0.03%,4179278.0
151.0,LVA,LATVIA,europe,1830211.0,1850651.0,1897052.0,1991955.0,2101530.0,2392530.0,2689391.0,2572037.0,2397414.0,-0.2708548709219158,29.0,-1.10%,0.02%,3680862.0
152.0,GNQ,"EQUATORIAL,GUINEA",africa,1714671.0,1674908.0,1596049.0,1346973.0,1094524.0,684977.0,465549.0,282509.0,316955.0,-0.29389413992903485,61.0,2.37%,0.02%,3389579.0
153.0,TTO,"TRINIDAD,AND,TOBAGO",north america,1534937.0,1531044.0,1518147.0,1460177.0,1410296.0,,,,988890.0,-0.308358999272526,299.0,0.25%,0.02%,3065981.0
154.0,BHR,BAHRAIN,asia,1485509.0,1472233.0,1477469.0,1362142.0,1213645.0,,,,222555.0,-0.3111136396038527,1892.0,0.90%,0.02%,2957742.0
155.0,TLS,TIMOR-LESTE,asia,1360596.0,1341296.0,1299995.0,1205813.0,1088486.0,,,,554021.0,-0.30220980903462286,91.0,1.44%,0.02%,2701892.0
156.0,EST,ESTONIA,europe,1322765.0,1326062.0,1329444.0,1314657.0,1331535.0,,,,1361999.0,-0.2830548037707606,31.0,-0.25%,0.02%,2648827.0
157.0,MUS,MAURITIUS,africa,1300557.0,1299469.0,1297828.0,1293153.0,1283330.0,1215930.0,1090290.0,954865.0,830115.0,-0.310309019575802,641.0,0.08%,0.02%,2600026.0
158.0,CYP,CYPRUS,europe,1260138.0,1251488.0,1237537.0,1187280.0,1129686.0,948237.0,788500.0,679327.0,640804.0,-0.3057583411269596,136.0,0.69%,0.02%,2511626.0
159.0,SWZ,ESWATINI,africa,1210822.0,1201670.0,1180655.0,1133936.0,1099920.0,1030496.0,854011.0,598564.0,442865.0,-0.3006384334504296,70.0,0.76%,0.02%,2412492.0
160.0,DJI,DJIBOUTI,africa,1136455.0,1120849.0,1090156.0,1006259.0,919199.0,742033.0,577173.0,324121.0,144379.0,-0.29695548248281856,49.0,1.39%,0.01%,2257304.0
161.0,REU,REUNION,africa,981796.0,974052.0,957822.0,922495.0,890130.0,785424.0,658992.0,551674.0,473925.0,-0.310011783471322,391.0,0.80%,0.01%,1955848.0
162.0,FJI,FIJI,oceania,936375.0,929766.0,920422.0,917200.0,905169.0,832509.0,780430.0,644582.0,527634.0,-0.3000654177755511,51.0,0.71%,0.01%,1866141.0
163.0,COM,COMOROS,africa,852075.0,836774.0,806166.0,730216.0,656024.0,536758.0,431119.0,328328.0,242351.0,-0.31042135084246314,458.0,1.83%,0.01%,1688849.0
164.0,GUY,GUYANA,south america,813834.0,808726.0,797202.0,755031.0,747932.0,759051.0,747116.0,778176.0,705261.0,-0.1759349505931995,4.0,0.63%,0.01%,1622560.0
165.0,BTN,BHUTAN,asia,787424.0,782455.0,772506.0,743274.0,705516.0,587207.0,558442.0,415257.0,298894.0,-0.2873669360465808,21.0,0.64%,0.01%,1569879.0
166.0,SLB,"SOLOMON,ISLANDS",oceania,740424.0,724273.0,691191.0,612660.0,540394.0,429978.0,324171.0,233668.0,172833.0,-0.29336088194966004,26.0,2.23%,0.01%,1464697.0
167.0,MAC,MACAU,asia,704149.0,695168.0,676283.0,615239.0,557297.0,431896.0,350227.0,245332.0,247284.0,-0.3115756492685868,21403.0,1.29%,0.01%,1399317.0
168.0,LUX,LUXEMBOURG,europe,654768.0,647599.0,630399.0,569408.0,507070.0,435628.0,381267.0,363741.0,339342.0,-0.3099644528814367,254.0,1.11%,0.01%,1302367.0
169.0,MNE,MONTENEGRO,europe,626485.0,627082.0,629048.0,633966.0,631044.0,633324.0,621442.0,589324.0,530268.0,-0.30288001018739924,47.0,-0.10%,0.01%,1253567.0
170.0,SUR,SURINAME,south america,623236.0,618040.0,607065.0,575475.0,546080.0,478998.0,412756.0,375112.0,379918.0,-0.20821378182046837,4.0,0.84%,0.01%,1241276.0
171.0,CPV,"CAPE,VERDE",africa,598682.0,593149.0,582640.0,552166.0,521212.0,458251.0,364563.0,317234.0,287262.0,-0.30905128803391557,148.0,0.93%,0.01%,1191831.0
172.0,ESH,"WESTERN,SAHARA",africa,587259.0,575986.0,556048.0,491824.0,413296.0,270375.0,178529.0,116775.0,76371.0,-0.14373058616068357,2.0,1.96%,0.01%,1163245.0
173.0,MLT,MALTA,europe,535064.0,533286.0,515357.0,456579.0,418755.0,399212.0,365392.0,333587.0,315414.0,-0.3113969920686329,1672.0,0.33%,0.01%,1068350.0
174.0,MDV,MALDIVES,asia,521021.0,523787.0,514438.0,435582.0,361575.0,282507.0,224957.0,164887.0,123243.0,-0.3114070892611418,1737.0,-0.53%,0.01%,1044808.0
175.0,BRN,BRUNEI,asia,452524.0,449002.0,441725.0,421437.0,396053.0,333926.0,261928.0,187921.0,133343.0,-0.30795826694483014,86.0,0.78%,0.01%,901526.0
176.0,BHS,BAHAMAS,north america,412623.0,409984.0,406471.0,392697.0,373272.0,325014.0,270679.0,223752.0,179129.0,-0.3027973394237329,41.0,0.64%,0.01%,822607.0
177.0,BLZ,BELIZE,north america,410825.0,405272.0,394921.0,359871.0,322106.0,240406.0,182589.0,145133.0,120905.0,-0.29710315392326075,18.0,1.37%,0.01%,816097.0
178.0,GLP,GUADELOUPE,north america,395839.0,395752.0,395642.0,399089.0,403072.0,424067.0,391951.0,334234.0,318310.0,-0.3105690222829054,243.0,0.02%,0.00%,791591.0
179.0,ISL,ICELAND,europe,375318.0,372899.0,366669.0,331060.0,318333.0,281462.0,255019.0,228263.0,204468.0,-0.24659573484481864,4.0,0.65%,0.00%,748217.0
180.0,MTQ,MARTINIQUE,north america,366981.0,367507.0,370391.0,383515.0,392181.0,432543.0,374271.0,333786.0,326428.0,-0.31088455954880767,325.0,-0.14%,0.00%,734488.0
181.0,MYT,MAYOTTE,africa,335995.0,326101.0,305587.0,249545.0,211786.0,159215.0,92659.0,52233.0,35383.0,-0.3113603897457883,898.0,3.03%,0.00%,662096.0
182.0,VUT,VANUATU,oceania,334506.0,326740.0,311685.0,276438.0,245453.0,192074.0,150882.0,118156.0,87019.0,-0.303904244152518,27.0,2.38%,0.00%,661246.0
183.0,GUF,"FRENCH,GUIANA",south america,312155.0,304557.0,290969.0,257026.0,228453.0,164351.0,113931.0,66825.0,46484.0,-0.2588802316809252,4.0,2.49%,0.00%,616712.0
184.0,PYF,"FRENCH,POLYNESIA",oceania,308872.0,306279.0,,,283788.0,250927.0,211089.0,163591.0,117891.0,-0.30896672404665376,89.0,0.85%,0.00%,615151.0
185.0,NCL,"NEW,CALEDONIA",oceania,292991.0,289950.0,,,261426.0,221537.0,177264.0,148599.0,110982.0,-0.2998742021924144,16.0,1.05%,0.00%,582941.0
186.0,BRB,BARBADOS,north america,281995.0,281635.0,,,274711.0,264657.0,258868.0,253575.0,241397.0,-0.31132504957200724,656.0,0.13%,0.00%,563630.0
187.0,STP,"SAO,TOME,AND,PRINCIPE",africa,231856.0,227380.0,,,182138.0,143714.0,120343.0,97210.0,77583.0,-0.3109880557720236,242.0,1.97%,0.00%,459236.0
188.0,WSM,SAMOA,oceania,225681.0,222382.0,,,194672.0,184008.0,168186.0,164905.0,142771.0,-0.3098028978012947,81.0,1.48%,0.00%,448063.0
189.0,CUW,CURACAO,north america,192077.0,191163.0,189288.0,169572.0,159380.0,141424.0,155446.0,156851.0,150385.0,-0.31131621452856195,433.0,0.48%,0.00%,383240.0
190.0,LCA,"SAINT,LUCIA",north america,180251.0,179857.0,179237.0,175623.0,170935.0,159500.0,142301.0,121633.0,103090.0,-0.3112076697090916,295.0,0.22%,0.00%,360108.0
191.0,GUM,GUAM,oceania,172952.0,171774.0,169231.0,167978.0,164905.0,160188.0,138263.0,110286.0,88300.0,-0.31124995170272246,320.0,0.69%,0.00%,344726.0
192.0,KIR,KIRIBATI,oceania,133515.0,131232.0,126463.0,116707.0,107995.0,88826.0,75124.0,60813.0,57437.0,-0.3110846101753897,165.0,1.74%,0.00%,264747.0
193.0,GRD,GRENADA,north america,126183.0,125438.0,123663.0,118980.0,114039.0,107432.0,99047.0,94838.0,98794.0,-0.3113793219817424,371.0,0.59%,0.00%,251621.0
194.0,FSM,MICRONESIA,oceania,115224.0,114164.0,112106.0,109462.0,107588.0,111709.0,98603.0,76299.0,58989.0,-0.31115339729935637,165.0,0.93%,0.00%,229388.0
195.0,JEY,JERSEY,europe,111802.0,110778.0,108319.0,100561.0,96151.0,86192.0,82874.0,75124.0,68347.0,-0.3115232069749938,932.0,0.92%,0.00%,222580.0
196.0,TON,TONGA,oceania,107773.0,106858.0,105254.0,106122.0,107383.0,102603.0,98727.0,96708.0,86484.0,-0.31112499894542517,150.0,0.86%,0.00%,214631.0
197.0,SYC,SEYCHELLES,africa,107660.0,107118.0,105530.0,99240.0,92409.0,80060.0,71057.0,65290.0,54379.0,-0.3113111659323075,234.0,0.51%,0.00%,214778.0
198.0,ABW,ARUBA,north america,106277.0,106445.0,106585.0,104257.0,100341.0,89101.0,65712.0,62267.0,59106.0,-0.3114828182049583,590.0,-0.16%,0.00%,212722.0
199.0,VCT,"SAINT,VINCENT,AND,THE,GRENADINES",north america,103698.0,103948.0,104632.0,106482.0,109308.0,113813.0,112487.0,107480.0,98459.0,-0.3113509236278112,266.0,-0.24%,0.00%,207646.0
200.0,VIR,"UNITED,STATES,VIRGIN,ISLANDS",north america,98750.0,99465.0,100442.0,102803.0,106142.0,108185.0,100685.0,96640.0,63446.0,-0.311377428758147,285.0,-0.72%,0.00%,198215.0
201.0,ATG,"ANTIGUA,AND,BARBUDA",north america,94298.0,93763.0,92664.0,89941.0,85695.0,75055.0,63328.0,64889.0,64516.0,-0.31131747667762555,214.0,0.57%,0.00%,188061.0
202.0,IMN,"ISLE,OF,MAN",europe,84710.0,84519.0,84046.0,83593.0,83828.0,75562.0,68865.0,64022.0,55298.0,-0.311235436988491,149.0,0.23%,0.00%,169229.0
203.0,AND,ANDORRA,europe,80088.0,79824.0,77700.0,71746.0,71519.0,66097.0,53569.0,35611.0,19860.0,-0.3113010687397986,170.0,0.33%,0.00%,159912.0
204.0,DMA,DOMINICA,north america,73040.0,72737.0,71995.0,70007.0,68755.0,68346.0,69481.0,72978.0,68895.0,-0.311122474647298,97.0,0.42%,0.00%,145777.0
205.0,CYM,"CAYMAN,ISLANDS",north america,69310.0,68706.0,67311.0,60911.0,54074.0,39658.0,26027.0,17100.0,10533.0,-0.31142980794428676,289.0,0.88%,0.00%,138016.0
206.0,BMU,BERMUDA,north america,64069.0,64184.0,64031.0,63144.0,63447.0,61371.0,57470.0,53565.0,52019.0,-0.3115623335959657,1186.0,-0.18%,0.00%,128253.0
207.0,GGY,GUERNSEY,europe,63544.0,63301.0,62794.0,61629.0,60782.0,59114.0,57727.0,52860.0,52656.0,-0.3115471878072024,1009.0,0.38%,0.00%,126845.0
208.0,GRL,GREENLAND,north america,56643.0,56466.0,56026.0,55895.0,56351.0,56184.0,55599.0,50106.0,45434.0,1.0553652966776201,0.0,0.31%,0.00%,113109.0
209.0,FRO,"FAROE,ISLANDS",europe,53270.0,53090.0,52415.0,48816.0,48410.0,45660.0,47479.0,43054.0,38416.0,-0.3107173247978795,39.0,0.34%,0.00%,106360.0
210.0,MNP,"NORTHERN,MARIANA,ISLANDS",oceania,49796.0,49551.0,49587.0,51514.0,54087.0,80338.0,48002.0,17613.0,10143.0,-0.3113035930379259,108.0,0.49%,0.00%,99347.0
211.0,KNA,"SAINT,KITTS,AND,NEVIS",north america,47755.0,47657.0,47642.0,47790.0,47403.0,45461.0,40636.0,43097.0,44968.0,-0.31143170116788216,184.0,0.21%,0.00%,95412.0
212.0,TCA,"TURKS,AND,CAICOS,ISLANDS",north america,46062.0,45703.0,44276.0,36538.0,29726.0,18744.0,11709.0,7598.0,5665.0,-0.3109981529645325,49.0,0.79%,0.00%,91765.0
213.0,SXM,"SINT,MAARTEN",north america,44222.0,44175.0,43621.0,40205.0,33034.0,30489.0,27845.0,12243.0,6260.0,-0.3115749550866018,1301.0,0.11%,0.00%,88397.0
214.0,ASM,"AMERICAN,SAMOA",oceania,43914.0,44273.0,46189.0,51368.0,54849.0,58230.0,47818.0,32886.0,27075.0,-0.31147082778885404,220.0,-0.81%,0.00%,88187.0
215.0,MHL,"MARSHALL,ISLANDS",oceania,41996.0,41569.0,43413.0,49410.0,53416.0,54224.0,46047.0,31988.0,23969.0,-0.3114821871304265,233.0,1.03%,0.00%,83565.0
216.0,LIE,LIECHTENSTEIN,europe,39584.0,39327.0,38756.0,37355.0,35926.0,33026.0,28765.0,25003.0,21089.0,-0.31149543969559446,247.0,0.65%,0.00%,78911.0
217.0,MCO,MONACO,europe,36297.0,36469.0,36922.0,36760.0,33178.0,32465.0,30329.0,,,-0.3115951368501289,18149.0,-0.47%,0.00%,72766.0
218.0,SMR,"SAN,MARINO",europe,33642.0,33660.0,34007.0,33570.0,31608.0,26823.0,23132.0,,,-0.31155791607424305,561.0,-0.05%,0.00%,67302.0
219.0,GIB,GIBRALTAR,europe,32688.0,32649.0,32709.0,32520.0,31262.0,27741.0,27317.0,,,-0.3115921203138669,4807.0,0.12%,0.00%,65337.0
220.0,MAF,"SAINT,MARTIN",north america,32077.0,31791.0,32552.0,35020.0,36458.0,29610.0,28127.0,,,-0.3115629646704975,642.0,0.90%,0.00%,63868.0
221.0,VGB,"BRITISH,VIRGIN,ISLANDS",north america,31538.0,31305.0,30910.0,29366.0,27556.0,20104.0,15617.0,,,-0.3115011193663807,210.0,0.74%,0.00%,62843.0
222.0,PLW,PALAU,oceania,18058.0,18055.0,17972.0,17794.0,18540.0,19726.0,15293.0,,,-0.31130674841058487,39.0,0.02%,0.00%,36113.0
222.35,COK,"COOK,ISLANDS",oceania,17044.0,17011.0,17029.0,17695.0,17212.0,15897.0,17123.0,17651.0,20470.0,-0.3114449537330501,71.0,0.19%,0.00%,34055.0
222.35,AIA,ANGUILLA,north america,15899.0,15857.0,15585.0,14525.0,13172.0,11047.0,8316.0,6560.0,6283.0,-0.31153898383828893,175.0,0.26%,0.00%,31756.0
222.35,NRU,NAURU,oceania,12780.0,12668.0,12315.0,11185.0,10241.0,10377.0,9598.0,7635.0,6663.0,-0.31158315905551526,639.0,0.88%,0.00%,25448.0
222.35,WLF,"WALLIS,AND,FUTUNA",oceania,11502.0,11572.0,11655.0,12182.0,13142.0,14723.0,13454.0,11315.0,9377.0,-0.3114234971989687,42.0,-0.60%,0.00%,23074.0
222.35,TUV,TUVALU,oceania,11396.0,11312.0,11069.0,10877.0,10550.0,9638.0,9182.0,7731.0,5814.0,-0.31158000368285627,380.0,0.74%,0.00%,22708.0
222.35,BLM,"SAINT,BARTHELEMY",north america,10994.0,10967.0,10681.0,9643.0,8988.0,7082.0,5168.0,2983.0,2417.0,-0.31158315905551526,440.0,0.25%,0.00%,21961.0
222.35,SPM,"SAINT,PIERRE,AND,MIQUELON",north america,5840.0,5862.0,,,,6274.0,6324.0,6106.0,5537.0,-0.31144369158398644,24.0,-0.38%,0.00%,11702.0
222.35,MSR,MONTSERRAT,north america,4386.0,4390.0,,,,5138.0,10805.0,11452.0,11402.0,-0.3115320420184391,43.0,-0.09%,0.00%,8776.0
222.35,FLK,"FALKLAND,ISLANDS",south america,3791.0,3780.0,,,,3080.0,2332.0,2240.0,2274.0,-0.3039143413450269,0.0,0.29%,0.00%,7571.0
222.35,NIU,NIUE,oceania,1935.0,1934.0,,,,2074.0,2533.0,3637.0,5185.0,-0.31143170116788216,7.0,0.05%,0.00%,3869.0
222.35,TKL,TOKELAU,oceania,1893.0,1871.0,1827.0,1454.0,1367.0,1666.0,1669.0,1647.0,1714.0,-0.3115888387263015,189.0,1.18%,0.00%,3764.0
222.35,VAT,"VATICAN,CITY",europe,518.0,510.0,520.0,564.0,596.0,651.0,700.0,733.0,752.0,-0.31159613394788915,1177.0,1.57%,0.00%,1028.0
